"Date","Price","Open","High","Low","Vol.","Change %"
"02/21/2025","3,379.11","3,356.69","3,381.06","3,339.03","60.82B","0.85%"
"02/20/2025","3,350.78","3,347.59","3,355.56","3,338.03","50.44B","-0.02%"
"02/19/2025","3,351.54","3,320.78","3,352.09","3,320.58","50.29B","0.81%"
"02/18/2025","3,324.49","3,348.98","3,366.01","3,314.30","56.27B","-0.93%"
"02/17/2025","3,355.83","3,355.42","3,357.12","3,333.19","58.95B","0.27%"
"02/14/2025","3,346.72","3,328.48","3,349.08","3,322.53","53.23B","0.43%"
"02/13/2025","3,332.48","3,343.23","3,359.18","3,332.48","56.86B","-0.42%"
"02/12/2025","3,346.39","3,312.26","3,346.39","3,310.39","51.34B","0.85%"
"02/11/2025","3,318.06","3,323.67","3,324.17","3,304.44","51.19B","-0.12%"
"02/10/2025","3,322.17","3,308.04","3,325.36","3,299.24","54.66B","0.56%"
"02/07/2025","3,303.67","3,269.23","3,324.43","3,262.51","60.06B","1.01%"
"02/06/2025","3,270.66","3,226.57","3,271.43","3,225.85","46.08B","1.27%"
"02/05/2025","3,229.49","3,270.16","3,271.02","3,220.28","40.64B","-0.65%"
"01/27/2025","3,250.60","3,256.61","3,274.39","3,250.60","38.75B","-0.06%"
"01/24/2025","3,252.63","3,222.88","3,260.01","3,221.71","39.87B","0.70%"
"01/23/2025","3,230.16","3,237.60","3,273.52","3,229.57","45.82B","0.51%"
"01/22/2025","3,213.62","3,235.49","3,235.50","3,203.38","36.48B","-0.89%"
"01/21/2025","3,242.62","3,256.83","3,258.61","3,229.07","38.46B","-0.05%"
"01/20/2025","3,244.38","3,256.15","3,268.26","3,238.12","40.33B","0.08%"
